CodeYear,Country,Code,Year,Population,GDPperCapita,MentalDisorderPrevalancePerc,EatingDisordersPrevalancePerc
BDI-2019,Burundi,BDI,2019,11874838,751.4789613,13.09,0.07
KHM-2019,Cambodia,KHM,2019,16207746,4212.283703,12.36,0.09
CMR-2019,Cameroon,CMR,2019,25782342,3580.181943,11.89,0.11
CAN-2019,Canada,CAN,2019,37522584,49359.24742,14.95,0.47
CPV-2019,Cape Verde,CPV,2019,577037,7189.128211,12.13,0.14
CAF-2019,Central African Republic,CAF,2019,5209329,955.1916385,14.65,0.07
TCD-2019,Chad,TCD,2019,16126868,1608.378059,12.65,0.1
CHL-2019,Chile,CHL,2019,19039484,23595.70116,15.2,0.39
CHN-2019,China,CHN,2019,1421864064,13988.2091,11.31,0.12
COL-2019,Colombia,COL,2019,50187404,13819.85146,12.05,0.23
COM-2019,Comoros,COM,2019,790993,3125.790536,12.23,0.09
COG-2019,Congo,COG,2019,5570736,4489.284806,13.04,0.13
CRI-2019,Costa Rica,CRI,2019,5084527,19249.16992,13.01,0.25
CIV-2019,Cote d'Ivoire,CIV,2019,26147544,5108.141062,11.19,0.12
HRV-2019,Croatia,HRV,2019,4129749,27512.02038,11.69,0.18
CYP-2019,Cyprus,CYP,2019,1228840,38763.19452,15.7,0.44
CZE-2019,Czechia,CZE,2019,10536876,40731.74112,11.14,0.21
COD-2019,Democratic Republic of Congo,COD,2019,89906896,1026.167646,13.64,0.08
DNK-2019,Denmark,DNK,2019,5795879,55898.20363,14.1,0.52
DJI-2019,Djibouti,DJI,2019,1073999,7123.102907,12.04,0.11
DMA-2019,Dominica,DMA,2019,71446,11699.02118,14.28,0.22
DOM-2019,Dominican Republic,DOM,2019,10881886,17766.40306,15.04,0.24
ECU-2019,Ecuador,ECU,2019,17343742,11238.18377,14.59,0.3
EGY-2019,Egypt,EGY,2019,105618672,10975.89676,14.58,0.21
SLV-2019,El Salvador,SLV,2019,6280222,8331.298521,13.24,0.21
GNQ-2019,Equatorial Guinea,GNQ,2019,1553037,22214.04612,13.21,0.22
EST-2019,Estonia,EST,2019,1327039,37120.73737,12.19,0.19
SWZ-2019,Eswatini,SWZ,2019,1169620,8434.862219,11.93,0.16
ETH-2019,Ethiopia,ETH,2019,114120592,2552.113646,12.48,0.09
FJI-2019,Fiji,FJI,2019,918472,13748.43825,11.54,0.11
FIN-2019,Finland,FIN,2019,5521539,47181.84804,14.96,0.53
FRA-2019,France,FRA,2019,64399760,44822.99712,16.63,0.52
GAB-2019,Gabon,GAB,2019,2242788,15359.09339,13.11,0.19
GMB-2019,Gambia,GMB,2019,2508882,2178.527253,13.05,0.1
GEO-2019,Georgia,GEO,2019,3770814,14858.58035,11.06,0.14
DEU-2019,Germany,DEU,2019,83148144,51592.60005,15,0.47
GHA-2019,Ghana,GHA,2019,31522294,5546.511377,11.4,0.12
GRC-2019,Greece,GRC,2019,10574026,28856.02518,17.05,0.47
GRD-2019,Grenada,GRD,2019,122737,16101.23367,14.37,0.23
GTM-2019,Guatemala,GTM,2019,17106338,7919.762243,13.23,0.2
GIN-2019,Guinea,GIN,2019,12877537,2300.715828,11.85,0.09
GNB-2019,Guinea-Bissau,GNB,2019,1970460,1698.613252,11.77,0.09
GUY-2019,Guyana,GUY,2019,798761,13335.39418,15.81,0.19
HTI-2019,Haiti,HTI,2019,11160441,1530.86462,15.13,0.12
HND-2019,Honduras,HND,2019,9958832,5296.050292,12.71,0.17
HUN-2019,Hungary,HUN,2019,9771799,33265.39979,11.31,0.2
ISL-2019,Iceland,ISL,2019,360787,58658.00136,14.6,0.5
IND-2019,India,IND,2019,1383112064,6546.714556,13.73,0.13
IDN-2019,Indonesia,IDN,2019,269582880,11471.34313,10.68,0.12
IRN-2019,Iran,IRN,2019,86564208,13060.4268,18.89,0.27
IRQ-2019,Iraq,IRQ,2019,41563524,11483.58222,14.91,0.22
IRL-2019,Ireland,IRL,2019,4896021,102353.6314,17.61,0.5
ISR-2019,Israel,ISR,2019,8607922,42728.17939,14.48,0.42
