CodeYear,Country,Code,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent),"GDP per capita (expenditure, multiple price benchmarks)",Population (historical estimates),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent)
CPV-2019,Cape Verde,CPV,2019,12.13,7189.128211,577037,0.14
CAF-2019,Central African Republic,CAF,2019,14.65,955.1916385,5209329,0.07
TCD-2019,Chad,TCD,2019,12.65,1608.378059,16126868,0.1
CHL-2019,Chile,CHL,2019,15.2,23595.70116,19039484,0.39
CHN-2019,China,CHN,2019,11.31,13988.2091,1421864064,0.12
COL-2019,Colombia,COL,2019,12.05,13819.85146,50187404,0.23
COM-2019,Comoros,COM,2019,12.23,3125.790536,790993,0.09
COG-2019,Congo,COG,2019,13.04,4489.284806,5570736,0.13
CRI-2019,Costa Rica,CRI,2019,13.01,19249.16992,5084527,0.25
CIV-2019,Cote d'Ivoire,CIV,2019,11.19,5108.141062,26147544,0.12
HRV-2019,Croatia,HRV,2019,11.69,27512.02038,4129749,0.18
CYP-2019,Cyprus,CYP,2019,15.7,38763.19452,1228840,0.44
CZE-2019,Czechia,CZE,2019,11.14,40731.74112,10536876,0.21
COD-2019,Democratic Republic of Congo,COD,2019,13.64,1026.167646,89906896,0.08
DNK-2019,Denmark,DNK,2019,14.1,55898.20363,5795879,0.52
DJI-2019,Djibouti,DJI,2019,12.04,7123.102907,1073999,0.11
DMA-2019,Dominica,DMA,2019,14.28,11699.02118,71446,0.22
DOM-2019,Dominican Republic,DOM,2019,15.04,17766.40306,10881886,0.24
ECU-2019,Ecuador,ECU,2019,14.59,11238.18377,17343742,0.3
EGY-2019,Egypt,EGY,2019,14.58,10975.89676,105618672,0.21
SLV-2019,El Salvador,SLV,2019,13.24,8331.298521,6280222,0.21
GNQ-2019,Equatorial Guinea,GNQ,2019,13.21,22214.04612,1553037,0.22
EST-2019,Estonia,EST,2019,12.19,37120.73737,1327039,0.19
SWZ-2019,Eswatini,SWZ,2019,11.93,8434.862219,1169620,0.16
ETH-2019,Ethiopia,ETH,2019,12.48,2552.113646,114120592,0.09
FJI-2019,Fiji,FJI,2019,11.54,13748.43825,918472,0.11
FIN-2019,Finland,FIN,2019,14.96,47181.84804,5521539,0.53
FRA-2019,France,FRA,2019,16.63,44822.99712,64399760,0.52
GAB-2019,Gabon,GAB,2019,13.11,15359.09339,2242788,0.19
GMB-2019,Gambia,GMB,2019,13.05,2178.527253,2508882,0.1
GEO-2019,Georgia,GEO,2019,11.06,14858.58035,3770814,0.14
DEU-2019,Germany,DEU,2019,15,51592.60005,83148144,0.47
GHA-2019,Ghana,GHA,2019,11.4,5546.511377,31522294,0.12
GRC-2019,Greece,GRC,2019,17.05,28856.02518,10574026,0.47
GRD-2019,Grenada,GRD,2019,14.37,16101.23367,122737,0.23
GTM-2019,Guatemala,GTM,2019,13.23,7919.762243,17106338,0.2
GIN-2019,Guinea,GIN,2019,11.85,2300.715828,12877537,0.09
GNB-2019,Guinea-Bissau,GNB,2019,11.77,1698.613252,1970460,0.09
GUY-2019,Guyana,GUY,2019,15.81,13335.39418,798761,0.19
HTI-2019,Haiti,HTI,2019,15.13,1530.86462,11160441,0.12
HND-2019,Honduras,HND,2019,12.71,5296.050292,9958832,0.17
HUN-2019,Hungary,HUN,2019,11.31,33265.39979,9771799,0.2
ISL-2019,Iceland,ISL,2019,14.6,58658.00136,360787,0.5
IND-2019,India,IND,2019,13.73,6546.714556,1383112064,0.13
IDN-2019,Indonesia,IDN,2019,10.68,11471.34313,269582880,0.12
IRN-2019,Iran,IRN,2019,18.89,13060.4268,86564208,0.27
IRQ-2019,Iraq,IRQ,2019,14.91,11483.58222,41563524,0.22
IRL-2019,Ireland,IRL,2019,17.61,102353.6314,4896021,0.5
ISR-2019,Israel,ISR,2019,14.48,42728.17939,8607922,0.42
ITA-2019,Italy,ITA,2019,15.03,41426.94291,59727936,0.59
JAM-2019,Jamaica,JAM,2019,14.02,8945.276846,2813776,0.2
JPN-2019,Japan,JPN,2019,10.58,39636.89161,125791680,0.42
JOR-2019,Jordan,JOR,2019,15.04,10194.8147,10698682,0.21
KAZ-2019,Kazakhstan,KAZ,2019,10.61,28757.45084,18754260,0.17
KEN-2019,Kenya,KEN,2019,12.34,4137.587956,50951452,0.11
