CodeYear,Year,Country,Code,Population,SuicideRate,QualityLifeIndex,PurchasingPowerIndex,SafetyIndex,HealthCareIndex,CostOfLivingIndex,GDPperCapita,GrossNetIncome,MentalDisorderPrevalancePerc,EatingDisordersPrevalancePerc,HealthExpenditurePerCapita
IRN-2019,2019,Iran,IRN,86564208,5.199999809,87.02,37.74,50.67,51.18,35.8,13060.4268,4260,18.89,0.27,868.18
IRQ-2019,2019,Iraq,IRQ,41563524,3.599999905,,,,,,11483.58222,5780,14.91,0.22,483.34
IRL-2019,2019,Ireland,IRL,4896021,9.600000381,160.82,95.09,55.48,48.58,75.35,102353.6314,63300,17.61,0.5,6010.07
ISR-2019,2019,Israel,ISR,8607922,5.300000191,153.82,92.48,67.84,73.44,74.28,42728.17939,43540,14.48,0.42,3326.25
ITA-2019,2019,Italy,ITA,59727936,6.699999809,145.69,77.49,54.98,67.14,69.25,41426.94291,34940,15.03,0.59,3998.01
JAM-2019,2019,Jamaica,JAM,2813776,2.400000095,,,,,,8945.276846,5250,14.02,0.2,597.85
JPN-2019,2019,Japan,JPN,125791680,15.30000019,180.5,103.12,86.27,80.4,83.33,39636.89161,42010,10.58,0.42,4587.03
JOR-2019,2019,Jordan,JOR,10698682,1.600000024,112.94,41.73,56.18,66.12,54.98,10194.8147,4410,15.04,0.21,797.45
KAZ-2019,2019,Kazakhstan,KAZ,18754260,17.60000038,87.17,38.83,33.49,51.27,29.83,28757.45084,8820,10.61,0.17,765.49
KEN-2019,2019,Kenya,KEN,50951452,6.099999905,,,,,,4137.587956,1830,12.34,0.11,207.62
KWT-2019,2019,Kuwait,KWT,4441105,2.900000095,,,,,,55942.79561,36200,14.05,0.37,2861.19
KGZ-2019,2019,Kyrgyzstan,KGZ,6323643,7.400000095,,,,,,5015.446061,1240,11.26,0.1,260.35
LAO-2019,2019,Laos,LAO,7212058,5.400000095,,,,,,7359.113354,2540,12.04,0.1,212.37
LVA-2019,2019,Latvia,LVA,1916552,20.10000038,149.15,55.16,63.23,59.71,49.23,31423.21545,17810,12.62,0.18,2098.45
LBN-2019,2019,Lebanon,LBN,5781912,2.799999952,111.21,53.97,55.73,65.9,58.06,14625.11198,7280,16.44,0.24,1288.81
LSO-2019,2019,Lesotho,LSO,2225710,72.40000153,,,,,,2597.903057,1330,13.31,0.11,313.61
LBR-2019,2019,Liberia,LBR,4985290,4.5,,,,,,1227.80388,610,12.49,0.08,126.02
LTU-2019,2019,Lithuania,LTU,2849083,26.10000038,156.36,60.34,63.49,67.58,45.91,37497.88921,19060,13.25,0.19,2796.82
LUX-2019,2019,Luxembourg,LUX,619981,11.30000019,,,,,,112941.4533,77110,14.91,0.63,6756.88
MDG-2019,2019,Madagascar,MDG,27533134,5.5,,,,,,1497.184315,520,13.04,0.09,65.23
MWI-2019,2019,Malawi,MWI,18867340,5.400000095,,,,,,1093.062919,560,12.5,0.08,81.7
