CodeYear,Year,Country,Code,SuicideRate,Population,CostOfHealthLiving,ShareMenWithMental,ShareWomenWithMental,GDPperCapita,GrossNetIncome,MentalDisorderPrevalancePerc,EatingDisordersPrevalancePerc,HealthExpenditurePerCapita
BMU-2019,2019,Bermuda,BMU,,63833,3.788,14.52,14.45,79967.58874,117290,14.52,0.39,
BTN-2019,2019,Bhutan,BTN,4.599999905,767467,4.712,11.99,12.18,11176.51858,3150,12.07,0.15,432.13
BOL-2019,2019,Bolivia,BOL,6.199999809,11777318,3.769,14.11,15.94,8628.591425,3520,15.06,0.25,630.76
BIH-2019,2019,Bosnia and Herzegovina,BIH,10.89999962,3360718,3.895,10.75,12.16,14224.12716,6170,11.51,0.15,1476.8
BWA-2019,2019,Botswana,BWA,16.10000038,2499705,3.591,11.52,12.12,17066.4534,7170,11.87,0.19,1122.14
BRA-2019,2019,Brazil,BRA,6.900000095,211782880,2.882,14.78,18.44,14637.67081,9220,16.72,0.24,1497.81
BRN-2019,2019,Brunei,BRN,2.700000048,438058,4.327,10.9,9.75,67555.3926,32230,10.36,0.46,1400.91
BGR-2019,2019,Bulgaria,BGR,9.699999809,7052536,3.896,10.51,11.66,22773.89409,9500,11.14,0.17,1797.51
BFA-2019,2019,Burkina Faso,BFA,7.5,20951638,3.24,11.55,11.71,2145.960525,770,11.66,0.09,122.41
BDI-2019,2019,Burundi,BDI,6.199999809,11874838,2.783,12.67,13.56,751.4789613,240,13.09,0.07,61.8
KHM-2019,2019,Cambodia,KHM,4.900000095,16207746,3.778,11.48,13.08,4212.283703,1530,12.36,0.09,316.05
CMR-2019,2019,Cameroon,CMR,9,25782342,2.744,11.47,12.26,3580.181943,1540,11.89,0.11,136.24
CAN-2019,2019,Canada,CAN,11.80000019,37522584,2.918,15.31,14.55,49359.24742,46540,14.95,0.47,5520.65
CPV-2019,2019,Cape Verde,CPV,12.89999962,577037,,12.08,12.11,7189.128211,,12.13,0.14,369.68
CAF-2019,2019,Central African Republic,CAF,12.30000019,5209329,3.57,14.21,15.01,955.1916385,520,14.65,0.07,78.44
TCD-2019,2019,Chad,TCD,6.400000095,16126868,2.659,12.13,13.19,1608.378059,700,12.65,0.1,69.4
CHL-2019,2019,Chile,CHL,9,19039484,3.213,13.04,17.16,23595.70116,14900,15.2,0.39,2424.15
CHN-2019,2019,China,CHN,8.100000381,1421864064,2.792,11.53,10.97,13988.2091,10310,11.31,0.12,880.19
COL-2019,2019,Colombia,COL,3.900000095,50187404,2.93,11.88,12.16,13819.85146,6570,12.05,0.23,1204.3
COM-2019,2019,Comoros,COM,5.400000095,790993,,11.84,12.55,3125.790536,1380,12.23,0.09,168.64
COG-2019,2019,Congo,COG,6.5,5570736,3.365,12.48,13.56,4489.284806,1810,13.04,0.13,81.69
CRI-2019,2019,Costa Rica,CRI,8.100000381,5084527,4.041,12.58,13.33,19249.16992,12120,13.01,0.25,1636.18
CIV-2019,2019,Cote d'Ivoire,CIV,8.899999619,26147544,,10.95,11.46,5108.141062,2290,11.19,0.12,179.55
HRV-2019,2019,Croatia,HRV,16.39999962,4129749,4.111,10.98,12.29,27512.02038,15540,11.69,0.18,2167.81
CYP-2019,2019,Cyprus,CYP,3.599999905,1228840,2.836,14.58,16.69,38763.19452,28600,15.7,0.44,3017.27
CZE-2019,2019,Czechia,CZE,12.19999981,10536876,2.919,10.54,11.66,40731.74112,22110,11.14,0.21,3477.03
