CodeYear,Entity,Code,Year,HealthExpenditurePerCapita,PrevalenceEatingDisorderPerc,PrevalanceMentalDisorderPerc,GDP per capita,Population
TLS-2015,Timor,TLS,2015,223.41,0.1,11.15,,
TLS-2016,Timor,TLS,2016,215.94,0.1,11.16,,
TLS-2017,Timor,TLS,2017,212.11,0.1,11.18,,
TLS-2018,Timor,TLS,2018,237.96,,11.21,,
TLS-2019,Timor,TLS,2019,220.31,,11.24,,
TGO-2015,Togo,TGO,2015,93.44,,12.3,,
TGO-2016,Togo,TGO,2016,104.6,,12.3,,
TGO-2017,Togo,TGO,2017,130.67,,12.31,,
TGO-2018,Togo,TGO,2018,128.41,,12.31,,
TGO-2019,Togo,TGO,2019,125.56,,12.31,,
TON-2015,Tonga,TON,2015,270.65,,11.54,,
TON-2016,Tonga,TON,2016,312.88,,,,
TON-2017,Tonga,TON,2017,330.04,,,,
TON-2018,Tonga,TON,2018,332.15,,,,
TON-2019,Tonga,TON,2019,332.05,,,,
TTO-2015,Trinidad and Tobago,TTO,2015,1665.38,,,,
TTO-2016,Trinidad and Tobago,TTO,2016,1803.14,,,,
TTO-2017,Trinidad and Tobago,TTO,2017,1842.56,,,,
TTO-2018,Trinidad and Tobago,TTO,2018,1796.03,,,,
TTO-2019,Trinidad and Tobago,TTO,2019,1834.96,,,,
TUN-2015,Tunisia,TUN,2015,675.98,,,,
TUN-2016,Tunisia,TUN,2016,684.75,,,,
TUN-2017,Tunisia,TUN,2017,723.12,,,,
TUN-2018,Tunisia,TUN,2018,759.04,,,,
TUN-2019,Tunisia,TUN,2019,789.05,,,,
TUR-2015,Turkey,TUR,2015,1060.24,,,,
TUR-2016,Turkey,TUR,2016,1135.96,,,,
TUR-2017,Turkey,TUR,2017,1166.73,,,,
TUR-2018,Turkey,TUR,2018,1152.41,,,,
TUR-2019,Turkey,TUR,2019,1186.74,,,,
TKM-2015,Turkmenistan,TKM,2015,862.23,,,,
TKM-2016,Turkmenistan,TKM,2016,918.11,,,,
TKM-2017,Turkmenistan,TKM,2017,985.17,,,,
TKM-2018,Turkmenistan,TKM,2018,1004.81,,,,
TKM-2019,Turkmenistan,TKM,2019,1063.84,,,,
TUV-2015,Tuvalu,TUV,2015,600.9,,,,
TUV-2016,Tuvalu,TUV,2016,626.5,,,,
TUV-2017,Tuvalu,TUV,2017,691.06,,,,
TUV-2018,Tuvalu,TUV,2018,837.3,,,,
TUV-2019,Tuvalu,TUV,2019,1071.3,,,,
UGA-2015,Uganda,UGA,2015,113.36,,,,
UGA-2016,Uganda,UGA,2016,107.92,,,,
UGA-2017,Uganda,UGA,2017,87.2,,,,
UGA-2018,Uganda,UGA,2018,92.14,,,,
UGA-2019,Uganda,UGA,2019,92.38,,,,
UKR-2015,Ukraine,UKR,2015,753.85,,,,
UKR-2016,Ukraine,UKR,2016,802.78,,,,
UKR-2017,Ukraine,UKR,2017,842.43,,,,
UKR-2018,Ukraine,UKR,2018,907.95,,,,
UKR-2019,Ukraine,UKR,2019,907.16,,,,
ARE-2015,United Arab Emirates,ARE,2015,2325.82,,,,
ARE-2016,United Arab Emirates,ARE,2016,2217.17,,,,
ARE-2017,United Arab Emirates,ARE,2017,2727.39,,,,
ARE-2018,United Arab Emirates,ARE,2018,2843.78,,,,
ARE-2019,United Arab Emirates,ARE,2019,2996.36,,,,
GBR-2015,United Kingdom,GBR,2015,4231.58,,,,
GBR-2016,United Kingdom,GBR,2016,4374.49,,,,
GBR-2017,United Kingdom,GBR,2017,4515.59,,,,
GBR-2018,United Kingdom,GBR,2018,4830.18,,,,
GBR-2019,United Kingdom,GBR,2019,5087.38,,,,
USA-2015,United States,USA,2015,9392.07,,,,
USA-2016,United States,USA,2016,9775,,,,
USA-2017,United States,USA,2017,10103.09,,,,
USA-2018,United States,USA,2018,10515.32,,,,
USA-2019,United States,USA,2019,10921.01,,,,
URY-2015,Uruguay,URY,2015,1821.24,,,,
URY-2016,Uruguay,URY,2016,1948,,,,
URY-2017,Uruguay,URY,2017,2029.89,,,,
URY-2018,Uruguay,URY,2018,2158.26,,,,
URY-2019,Uruguay,URY,2019,2309.84,,,,
UZB-2015,Uzbekistan,UZB,2015,320.15,,,,
UZB-2016,Uzbekistan,UZB,2016,324.62,,,,
UZB-2017,Uzbekistan,UZB,2017,335.39,,,,
UZB-2018,Uzbekistan,UZB,2018,372.38,,,,
UZB-2019,Uzbekistan,UZB,2019,418.01,,,,
VUT-2015,Vanuatu,VUT,2015,122.7,,,,
VUT-2016,Vanuatu,VUT,2016,85.52,,,,
VUT-2017,Vanuatu,VUT,2017,86.11,,,,
VUT-2018,Vanuatu,VUT,2018,107.24,,,,
VUT-2019,Vanuatu,VUT,2019,110.64,,,,
VEN-2015,Venezuela,VEN,2015,744.75,,,,
VEN-2016,Venezuela,VEN,2016,567.16,,,,
VEN-2017,Venezuela,VEN,2017,589.05,,,,
VEN-2018,Venezuela,VEN,2018,521.33,,,,
VEN-2019,Venezuela,VEN,2019,384.5,,,,
VNM-2015,Vietnam,VNM,2015,344.96,,,,
VNM-2016,Vietnam,VNM,2016,371.98,,,,
VNM-2017,Vietnam,VNM,2017,423.98,,,,
VNM-2018,Vietnam,VNM,2018,493.99,,,,
VNM-2019,Vietnam,VNM,2019,558.87,,,,
YEM-2015,Yemen,YEM,2015,110.01,,,,
ZMB-2015,Zambia,ZMB,2015,152.14,,,,
ZMB-2016,Zambia,ZMB,2016,152.43,,,,
ZMB-2017,Zambia,ZMB,2017,152.54,,,,
ZMB-2018,Zambia,ZMB,2018,181.55,,,,
ZMB-2019,Zambia,ZMB,2019,192.52,,,,
ZWE-2015,Zimbabwe,ZWE,2015,199.68,,,,
ZWE-2016,Zimbabwe,ZWE,2016,215.4,,,,
ZWE-2017,Zimbabwe,ZWE,2017,226.21,,,,
ZWE-2018,Zimbabwe,ZWE,2018,269.2,,,,
ZWE-2019,Zimbabwe,ZWE,2019,208.41,,,,
