Entity,Code,Year,EatingDisorderPrevalancePercent,GNI,DepressionPrevalancePerc,Life satisfaction in Cantril Ladder (World Happiness Report 2022),
Afghanistan,AFG,2015,0.12,590,5.11,2.66171813,Asia
Afghanistan,AFG,2016,0.12,550,5.11,2.694303274,Asia
Afghanistan,AFG,2017,0.12,530,5.11,2.375091791,Asia
Afghanistan,AFG,2018,0.12,510,5.12,,
Afghanistan,AFG,2019,0.12,520,5.13,2.522900105,
Albania,ALB,2015,0.14,4390,,,Europe
Albania,ALB,2016,0.14,4320,2.61,5.004402637,Europe
Albania,ALB,2017,0.14,4290,2.61,4.995317936,Europe
Albania,ALB,2018,0.14,4860,2.62,5.364909649,
Albania,ALB,2019,0.15,5230,2.63,5.117400169,
Algeria,DZA,2015,0.22,4850,2.61,4.639548302,
Algeria,DZA,2016,0.22,4370,4.31,5.043086052,
Algeria,DZA,2017,0.22,3950,4.3,4.744627476,
Algeria,DZA,2018,0.22,3980,4.32,,
Algeria,DZA,2019,0.22,4010,4.37,4.88710022,
Angola,AGO,2015,0.14,3920,4.31,5.248912334,
Angola,AGO,2016,0.14,2480,5.85,,
Angola,AGO,2017,0.14,2010,5.86,,
Angola,AGO,2018,0.14,1900,5.86,,
Angola,AGO,2019,0.14,2070,5.86,,
Antigua and Barbuda,ATG,2015,0.28,12850,5.85,,
Antigua and Barbuda,ATG,2016,0.28,13580,3.05,,
Antigua and Barbuda,ATG,2017,0.28,14320,3.05,,
Antigua and Barbuda,ATG,2018,0.28,15880,3.09,,
Antigua and Barbuda,ATG,2019,0.28,16420,3.17,,
Argentina,ARG,2015,0.35,12600,3.05,,
Argentina,ARG,2016,0.36,12220,2.6,5.792796612,
Argentina,ARG,2017,0.36,13140,2.6,6.085560799,
Argentina,ARG,2018,0.36,12430,2.6,5.900567055,
Argentina,ARG,2019,0.36,11260,2.59,5.929299831,
Armenia,ARM,2015,0.13,4010,2.61,6.039330006,
Armenia,ARM,2016,0.13,3760,3.16,5.062448502,
Armenia,ARM,2017,0.13,3950,3.16,5.4880867,
Armenia,ARM,2018,0.13,4240,3.17,,
Armenia,ARM,2019,0.13,4660,3.19,5.282599926,
Australia,AUS,2015,1.11,60490,3.15,4.287736416,
Australia,AUS,2016,1.11,54090,4.83,7.17699337,
Australia,AUS,2017,1.11,51480,4.73,7.233994961,
Australia,AUS,2018,1.12,53070,4.75,7.137367725,
Australia,AUS,2019,1.14,54910,4.83,7.183499813,
Austria,AUT,2015,0.62,47480,4.95,7.25703764,
Austria,AUT,2016,0.61,46240,3.41,7.396001816,
Austria,AUT,2017,0.61,45040,3.41,7.195361137,
Austria,AUT,2018,0.61,49010,3.42,7.213489056,
Austria,AUT,2019,0.62,51010,3.42,7.267799854,
Azerbaijan,AZE,2015,0.15,6610,3.41,7.293727875,
Azerbaijan,AZE,2016,0.15,4790,2.89,5.167995453,
Azerbaijan,AZE,2017,0.15,4110,2.89,5.173389435,
Azerbaijan,AZE,2018,0.15,4080,2.91,,
Azerbaijan,AZE,2019,0.15,4510,2.94,5.170800209,
Bahamas,BHS,2015,0.31,28810,2.89,5.152279377,
Bahamas,BHS,2016,0.31,28930,3.12,,
Bahamas,BHS,2017,0.31,30580,3.12,,
Bahamas,BHS,2018,0.31,31070,3.15,,
Bahamas,BHS,2019,0.31,32420,3.21,,
Bahrain,BHR,2015,0.29,22580,3.12,,
Bahrain,BHR,2016,0.3,21570,4.72,,
Bahrain,BHR,2017,0.3,21250,4.71,7.098012447,
Bahrain,BHR,2018,0.3,22000,4.72,6.173175812,
Bahrain,BHR,2019,0.3,22230,4.72,6.646900177,
Bangladesh,BGD,2015,0.11,1220,4.73,6.227320671,
Bangladesh,BGD,2016,0.11,1430,4.73,4.499217033,
Bangladesh,BGD,2017,0.12,1670,4.73,5.114216805,
Bangladesh,BGD,2018,0.12,2040,4.74,5.279986858,
Bangladesh,BGD,2019,0.12,2250,4.75,5.024600029,
Barbados,BRB,2015,0.25,15760,4.72,4.309771061,
Barbados,BRB,2016,0.25,15940,3.27,,
Barbados,BRB,2017,0.25,16090,3.27,,
Barbados,BRB,2018,0.25,16610,3.29,,
Barbados,BRB,2019,0.25,17130,3.34,,
Belarus,BLR,2015,0.14,6750,3.27,,
Belarus,BLR,2016,0.14,5640,4.2,5.233769894,
Belarus,BLR,2017,0.14,5320,4.2,5.821453094,
Belarus,BLR,2018,0.14,5730,4.18,,
Belarus,BLR,2019,0.14,6370,4.13,5.533500195,
Belgium,BEL,2015,0.47,45570,4.2,5.552915096,
Belgium,BEL,2016,0.47,43400,3.9,6.89217186,
Belgium,BEL,2017,0.48,42520,3.89,6.772138119,
Belgium,BEL,2018,0.48,46070,3.89,6.838760853,
Belgium,BEL,2019,0.48,48050,3.9,6.834000111,
Belize,BLZ,2015,0.2,4440,3.9,6.928347588,
Belize,BLZ,2016,0.2,4370,3.43,,
Belize,BLZ,2017,0.2,4430,3.43,,
Belize,BLZ,2018,0.21,4560,3.44,,
Belize,BLZ,2019,0.2,4610,3.46,,
Benin,BEN,2015,0.1,1180,3.42,,
Benin,BEN,2016,0.1,1110,4.51,5.81982708,
Benin,BEN,2017,0.1,1090,4.52,4.976360798,
Benin,BEN,2018,0.1,1200,4.52,4.407745838,
Benin,BEN,2019,0.1,1250,4.54,5.045199871,
Bermuda,BMU,2015,0.38,101120,4.51,4.853180885,
Bermuda,BMU,2016,0.39,103620,3.35,,
Bermuda,BMU,2017,0.39,112940,3.35,,
Bermuda,BMU,2018,0.39,117000,3.35,,
Bermuda,BMU,2019,0.39,117290,3.37,,
Bhutan,BTN,2015,0.14,2520,3.36,,
Bhutan,BTN,2016,0.14,2650,4.09,,
Bhutan,BTN,2017,0.14,2800,4.09,,
Bhutan,BTN,2018,0.15,2970,4.11,,
Bhutan,BTN,2019,0.15,3150,4.16,,
Bolivia,BOL,2015,0.24,2960,4.1,,
Bolivia,BOL,2016,0.24,3040,3.57,5.915734291,
Bolivia,BOL,2017,0.24,3090,3.57,5.67427063,
Bolivia,BOL,2018,0.24,3370,3.57,5.559258938,
Bolivia,BOL,2019,0.25,3520,3.55,5.715899944,
Bosnia and Herzegovina,BIH,2015,0.14,5210,3.57,5.65055275,
Bosnia and Herzegovina,BIH,2016,0.14,5130,2.91,5.887401104,
Bosnia and Herzegovina,BIH,2017,0.14,5120,2.91,6.01552248,
Bosnia and Herzegovina,BIH,2018,0.14,5750,2.93,5.515816212,
Bosnia and Herzegovina,BIH,2019,0.15,6170,2.95,5.813099861,
Botswana,BWA,2015,0.18,6430,2.91,5.089902401,
Botswana,BWA,2016,0.18,6280,4.43,3.4613657,
Botswana,BWA,2017,0.18,6380,4.43,3.471084833,
Botswana,BWA,2018,0.19,6780,4.44,,
Botswana,BWA,2019,0.19,7170,4.46,3.466500044,
Brazil,BRA,2015,0.24,10170,4.43,3.504881144,
Brazil,BRA,2016,0.24,8910,4.01,6.190921783,
Brazil,BRA,2017,0.24,8680,3.99,6.451148987,
Brazil,BRA,2018,0.24,9140,3.99,6.109717846,
Brazil,BRA,2019,0.24,9220,3.99,6.33010006,
Brunei,BRN,2015,0.47,38850,4.03,6.332929134,
Brunei,BRN,2016,0.46,33170,1.68,,
Brunei,BRN,2017,0.46,29800,1.68,,
Brunei,BRN,2018,0.46,29390,1.7,,
Brunei,BRN,2019,0.46,32230,1.74,,
Bulgaria,BGR,2015,0.16,7430,1.68,,
Bulgaria,BGR,2016,0.16,7400,2.86,5.098813534,
Bulgaria,BGR,2017,0.16,7610,2.87,5.108438015,
Bulgaria,BGR,2018,0.17,8530,2.88,5.597723007,
Bulgaria,BGR,2019,0.17,9500,2.88,5.265500069,
Burkina Faso,BFA,2015,0.09,700,2.86,5.096901894,
Burkina Faso,BFA,2016,0.09,680,4.6,4.92723608,
Burkina Faso,BFA,2017,0.09,670,4.6,4.740892887,
Burkina Faso,BFA,2018,0.09,750,4.54,,
Burkina Faso,BFA,2019,0.09,770,4.43,4.833799839,
Burundi,BDI,2015,0.07,260,4.59,4.646891117,
Burundi,BDI,2016,0.07,260,4.79,3.775283098,
Burundi,BDI,2017,0.07,260,4.79,,
Burundi,BDI,2018,0.07,250,4.79,,
Burundi,BDI,2019,0.07,240,4.79,3.775300026,
Cambodia,KHM,2015,0.08,1060,4.79,,
Cambodia,KHM,2016,0.08,1140,3.04,5.121837616,
Cambodia,KHM,2017,0.08,1230,3.05,4.998284817,
Cambodia,KHM,2018,0.09,1380,3.04,4.376985073,
Cambodia,KHM,2019,0.09,1530,3.04,4.83039999,
Cameroon,CMR,2015,0.11,1500,3.04,4.585842133,
Cameroon,CMR,2016,0.11,1440,4.71,5.250737667,
Cameroon,CMR,2017,0.11,1390,4.71,4.936737537,
Cameroon,CMR,2018,0.11,1490,4.71,5.2410779,
Cameroon,CMR,2019,0.11,1540,4.73,5.141799927,
Canada,CAN,2015,0.47,47590,4.71,5.07405138,
Canada,CAN,2016,0.47,43890,3.59,7.175496578,
Canada,CAN,2017,0.47,42900,3.59,7.1090765,
Canada,CAN,2018,0.47,45080,3.61,7.024904728,
Canada,CAN,2019,0.47,46540,3.64,7.103300095,
Cape Verde,CPV,2016,0.14,,5.11,,
Cape Verde,CPV,2017,0.14,1390,5.11,,
Cape Verde,CPV,2018,0.14,,5.09,,
Cape Verde,CPV,2019,0.14,,5.07,,
Central African Republic,CAF,2015,0.07,400,3.6,7.414868355,
Central African Republic,CAF,2016,0.07,410,5.99,,
Central African Republic,CAF,2017,0.07,440,5.98,,
Central African Republic,CAF,2018,0.07,490,5.98,,
Central African Republic,CAF,2019,0.07,520,5.99,,
Chad,TCD,2015,0.1,880,5.99,3.475862026,
Chad,TCD,2016,0.1,730,5.22,4.486325264,
Chad,TCD,2017,0.1,640,5.21,4.250799179,
Chad,TCD,2018,0.1,680,5.21,,
Chad,TCD,2019,0.1,700,5.22,4.355400085,
Chile,CHL,2015,0.38,14130,5.22,4.558937073,
Chile,CHL,2016,0.39,13340,4.02,6.436220646,
Chile,CHL,2017,0.39,13260,4.02,5.942250252,
Chile,CHL,2018,0.39,14580,4,6.150642872,
Chile,CHL,2019,0.39,14900,3.95,6.171899796,
China,CHN,2015,0.11,7890,4.03,6.320119381,
China,CHN,2016,0.11,8210,2.94,5.131433964,
China,CHN,2017,0.12,8670,2.93,5.144120216,
China,CHN,2018,0.12,9540,2.93,5.771064758,
China,CHN,2019,0.12,10310,2.92,5.339099884,
Colombia,COL,2015,0.22,7330,2.94,5.099061489,
Colombia,COL,2016,0.23,6460,2.31,5.983512402,
Colombia,COL,2017,0.23,5940,2.33,6.350297928,
Colombia,COL,2018,0.23,6270,2.34,5.70917511,
Colombia,COL,2019,0.23,6570,2.35,6.01240015,
Comoros,COM,2015,0.09,1380,2.29,6.157341957,
Comoros,COM,2016,0.09,1320,4.38,3.972819567,
Comoros,COM,2017,0.09,1280,4.39,4.608616352,
Comoros,COM,2018,0.09,1370,4.4,,
Comoros,COM,2019,0.09,1380,4.42,4.288599968,
Congo,COG,2016,0.13,470,5.62,5.490214348,
Congo,COG,2017,0.13,460,5.62,5.212622643,
Congo,COG,2018,0.13,500,5.63,,
Congo,COG,2019,0.13,530,5.64,5.341700077,
Cook Islands,COK,2016,0.16,470,3.33,,
Cook Islands,COK,2017,0.16,460,3.33,,
Cook Islands,COK,2018,0.16,,3.33,,
