YearCode,Entity,Code,Year,GNI,EatingDisorderPrevalancePercent,DepressionPrevalancePerc,DeathsBySuicide,LifeSatisfactionRate,DeathsHeartDisease,HealthCareExpenditure
PHL-2016,Philippines,PHL,2016,3450,0.1,2.86,0.69,5.869172573,31.28,304.67
PHL-2017,Philippines,PHL,2017,3530,0.11,2.86,0.7,6.267745018,31.31,321.62
PHL-2018,Philippines,PHL,2018,3710,0.11,2.87,0.71,5.079585075,31.72,344.91
PHL-2019,Philippines,PHL,2019,3850,0.11,2.89,0.71,5.880199909,31.97,379.24
POL-2015,Poland,POL,2015,13310,0.19,2.29,1.78,6.201268196,42.63,1716.9
POL-2016,Poland,POL,2016,12720,0.2,2.29,1.73,6.111485004,42.45,1850.92
POL-2017,Poland,POL,2017,12730,0.2,2.3,1.7,6.24209404,42.65,1972.37
POL-2018,Poland,POL,2018,14150,0.2,2.36,1.66,6.139455318,42.89,2023.38
POL-2019,Poland,POL,2019,15360,0.2,2.48,1.62,6.166100025,43.03,2206.54
PRT-2015,Portugal,PRT,2015,20460,0.45,4.71,1.33,5.711499214,31.06,2758.88
PRT-2016,Portugal,PRT,2016,19940,0.46,4.76,1.25,5.919822693,31.12,2964.8
PRT-2017,Portugal,PRT,2017,20060,0.46,4.81,1.19,6.095473289,31.57,3072.32
PRT-2018,Portugal,PRT,2018,22060,0.46,4.81,1.18,5.767792225,31.86,3285.7
PRT-2019,Portugal,PRT,2019,23200,0.46,4.81,1.17,5.928999901,32.09,3517.72
PRI-2015,Puerto Rico,PRI,2015,19420,0.33,2.98,0.85,,26.02,
PRI-2016,Puerto Rico,PRI,2016,19710,0.33,2.98,0.8,,26.13,
PRI-2017,Puerto Rico,PRI,2017,20000,0.33,2.99,0.75,,24.73,
PRI-2018,Puerto Rico,PRI,2018,21080,0.33,3.01,0.77,,26.68,
PRI-2019,Puerto Rico,PRI,2019,22060,0.33,3.04,0.76,,26.82,
QAT-2015,Qatar,QAT,2015,73440,0.36,4.15,3.39,,24.22,2789.95
QAT-2016,Qatar,QAT,2016,64550,0.37,4.15,3.31,,24.3,2698.73
QAT-2017,Qatar,QAT,2017,56920,0.37,4.15,3.16,,24.67,2731.58
QAT-2018,Qatar,QAT,2018,58830,0.37,4.17,3.06,,25.05,2446.27
QAT-2019,Qatar,QAT,2019,61180,0.37,4.21,2.97,,25.34,2736.82
ROU-2015,Romania,ROU,2015,9600,0.16,2.83,0.93,6.089904785,56.71,1065.93
ROU-2016,Romania,ROU,2016,9620,0.17,2.83,0.89,6.150878906,56.46,1210.83
ROU-2017,Romania,ROU,2017,10110,0.17,2.83,0.87,6.129942417,56.46,1398.55
ROU-2018,Romania,ROU,2018,11430,0.17,2.83,0.85,,56.85,1672.6
ROU-2019,Romania,ROU,2019,12620,0.17,2.83,0.83,6.139999866,57.26,1906.59
RUS-2015,Russia,RUS,2015,11780,0.17,3.36,2.42,5.578742981,55.56,1288.07
RUS-2016,Russia,RUS,2016,9730,0.17,3.36,2.33,5.513500214,55.55,1288.6
RUS-2017,Russia,RUS,2017,9210,0.17,3.36,2.27,5.440523624,55.7,1406.2
RUS-2018,Russia,RUS,2018,10250,0.17,3.35,2.26,5.495288849,55.94,1570.78
RUS-2019,Russia,RUS,2019,11280,0.17,3.32,2.18,5.477200031,56.2,1704.04
RWA-2015,Rwanda,RWA,2015,750,0.09,5.19,0.99,3.10837388,15.14,120.08
RWA-2016,Rwanda,RWA,2016,740,0.09,5.2,1.01,3.5610466,15.42,131.03
RWA-2017,Rwanda,RWA,2017,730,0.09,5.22,1.04,3.268152237,15.96,126.21
RWA-2018,Rwanda,RWA,2018,780,0.1,5.23,1.08,,16.69,142.84
RWA-2019,Rwanda,RWA,2019,830,0.1,5.25,1.1,3.414700031,17.26,145.74
KNA-2015,Saint Kitts and Nevis,KNA,2015,,0.3,4.13,0.5,,31.2,1271.22
KNA-2016,Saint Kitts and Nevis,KNA,2016,,0.3,4.13,0.49,,31,1403.86
KNA-2017,Saint Kitts and Nevis,KNA,2017,,0.3,4.13,0.5,,30.93,1419.12
KNA-2018,Saint Kitts and Nevis,KNA,2018,,0.3,4.14,0.49,,30.89,1382.91
KNA-2019,Saint Kitts and Nevis,KNA,2019,,0.3,4.15,0.45,,31.36,1506.51
LCA-2015,Saint Lucia,LCA,2015,,0.22,3.4,1.06,,30.7,620.8
LCA-2016,Saint Lucia,LCA,2016,,0.23,3.4,0.99,,31.44,702.05
LCA-2017,Saint Lucia,LCA,2017,,0.23,3.4,0.98,,31.6,696.13
LCA-2018,Saint Lucia,LCA,2018,,0.23,3.43,0.97,,31.69,690.31
LCA-2019,Saint Lucia,LCA,2019,,0.23,3.47,0.96,,31.71,697.71
VCT-2015,Saint Vincent and the Grenadines,VCT,2015,,0.22,3.45,0.78,,34.56,475.56
VCT-2016,Saint Vincent and the Grenadines,VCT,2016,,0.22,3.44,0.79,,34.51,518.78
VCT-2017,Saint Vincent and the Grenadines,VCT,2017,,0.22,3.44,0.81,,34.63,529.55
VCT-2018,Saint Vincent and the Grenadines,VCT,2018,,0.22,3.46,0.8,,34.64,576.08
VCT-2019,Saint Vincent and the Grenadines,VCT,2019,,0.22,3.51,0.8,,34.64,620.3
WSM-2015,Samoa,WSM,2015,3960,0.1,2.91,1.84,,39.42,337.28
WSM-2016,Samoa,WSM,2016,4110,0.1,2.9,1.85,,39.42,343.27
WSM-2017,Samoa,WSM,2017,4070,0.1,2.9,1.86,,39.45,361.22
WSM-2018,Samoa,WSM,2018,4050,0.1,2.91,1.86,,39.45,354.65
WSM-2019,Samoa,WSM,2019,4230,0.1,2.92,1.85,,39.42,433.19
SMR-2015,San Marino,SMR,2015,,0.57,4.49,1.42,,32.49,3467.58
SMR-2016,San Marino,SMR,2016,,0.57,4.49,1.42,,32.57,3867.33
SMR-2017,San Marino,SMR,2017,,0.56,4.5,1.42,,32.65,4251.64
SMR-2018,San Marino,SMR,2018,,0.56,4.5,1.41,,32.7,4221.51
SMR-2019,San Marino,SMR,2019,,0.56,4.5,1.4,,32.73,4057.16
STP-2015,Sao Tome and Principe,STP,2015,1650,0.11,3.76,0.37,,25.8,204.95
STP-2016,Sao Tome and Principe,STP,2016,1690,0.11,3.76,0.38,,26.18,250.12
STP-2017,Sao Tome and Principe,STP,2017,1700,0.11,3.77,0.39,,26.58,253
STP-2018,Sao Tome and Principe,STP,2018,1870,0.11,3.79,0.4,,26.9,236.9
STP-2019,Sao Tome and Principe,STP,2019,1950,0.11,3.83,0.41,,27.1,226.81
SAU-2015,Saudi Arabia,SAU,2015,23710,0.29,4.4,1.32,6.294282436,34.53,2915.86
SAU-2016,Saudi Arabia,SAU,2016,21610,0.29,4.38,1.36,6.356393337,35.13,2654.3
SAU-2017,Saudi Arabia,SAU,2017,19990,0.29,4.37,1.37,6.561247349,35.31,2962.58
SAU-2018,Saudi Arabia,SAU,2018,21860,0.29,4.38,1.38,6.559588432,35.45,2802.5
SAU-2019,Saudi Arabia,SAU,2019,23220,0.29,4.42,1.39,6.493999958,35.7,2789.56
-2015,Scotland,,2015,,0.43,4.29,1.16,,30.72,
-2016,Scotland,,2016,,0.43,4.28,1.2,,30.54,
-2017,Scotland,,2017,,0.43,4.28,1.19,,30.82,
-2018,Scotland,,2018,,0.44,4.27,1.12,,31.28,
-2019,Scotland,,2019,,0.44,4.27,1.09,,31.39,
SEN-2015,Senegal,SEN,2015,1310,0.1,4.05,1.15,4.683024883,16.31,130.22
SEN-2016,Senegal,SEN,2016,1270,0.1,4.05,1.19,4.769377232,16.76,131.06
SEN-2017,Senegal,SEN,2017,1280,0.1,4.05,1.2,5.488736629,16.88,128.06
SEN-2018,Senegal,SEN,2018,1390,0.1,4.07,1.22,,17.23,143.17
SEN-2019,Senegal,SEN,2019,1440,0.11,4.1,1.25,5.131800175,17.79,144.8
SRB-2015,Serbia,SRB,2015,5960,0.15,2.99,1.39,5.122031212,53.59,1312.15
SRB-2016,Serbia,SRB,2016,5700,0.15,3.01,1.36,5.936493397,53.41,1338
SRB-2017,Serbia,SRB,2017,5570,0.15,3.02,1.34,6.241407394,53.67,1366.07
SRB-2018,Serbia,SRB,2018,6410,0.15,3.02,1.32,6.041546345,54.07,1556.73
SRB-2019,Serbia,SRB,2019,7040,0.15,3.02,1.3,6.077899933,54.25,1686.07
SYC-2015,Seychelles,SYC,2015,14160,0.15,2.77,1.13,,29.97,1086.45
SYC-2016,Seychelles,SYC,2016,14240,0.15,2.76,1.13,,30.03,1316.43
SYC-2017,Seychelles,SYC,2017,14660,0.16,2.76,1.13,,30.14,1332.22
SYC-2018,Seychelles,SYC,2018,15960,0.16,2.77,1.12,,30.24,1470.19
SYC-2019,Seychelles,SYC,2019,16680,0.16,2.79,1.1,,30.33,1468.72
SLE-2015,Sierra Leone,SLE,2015,550,0.09,4.46,0.57,4.089562416,11.05,326.45
SLE-2016,Sierra Leone,SLE,2016,490,0.09,4.46,0.61,4.305683136,11.66,277.35
SLE-2017,Sierra Leone,SLE,2017,520,0.09,4.46,0.63,3.447381496,11.86,153.57
SLE-2018,Sierra Leone,SLE,2018,490,0.09,4.46,0.68,,12.56,141.24
SLE-2019,Sierra Leone,SLE,2019,530,0.09,4.46,0.7,3.849400043,12.86,157
SGP-2015,Singapore,SGP,2015,53160,0.48,2.15,2.29,6.378437996,29.69,3598.99
SGP-2016,Singapore,SGP,2016,53250,0.48,2.16,2.22,6.374564171,29.49,3894.94
SGP-2017,Singapore,SGP,2017,54590,0.49,2.17,2.1,6.378359795,29.38,4091.44
SGP-2018,Singapore,SGP,2018,56670,0.5,2.18,2.03,,29.37,4035.61
SGP-2019,Singapore,SGP,2019,58060,0.5,2.2,2,6.37650013,29.33,4102.27
SVK-2015,Slovakia,SVK,2015,17700,0.19,2.9,1.43,6.365509033,48.47,2033.22
SVK-2016,Slovakia,SVK,2016,16790,0.19,2.9,1.36,6.23511076,48.59,2110.64
SVK-2017,Slovakia,SVK,2017,16620,0.19,2.9,1.33,6.243428707,48.81,2038.16
SVK-2018,Slovakia,SVK,2018,18340,0.19,2.9,1.31,6.519098282,48.96,2113.84
SVK-2019,Slovakia,SVK,2019,19250,0.2,2.9,1.27,6.330900192,49.15,2267.09
SVN-2015,Slovenia,SVN,2015,22270,0.19,3.38,2.25,6.166837692,36.67,2688.7
SVN-2016,Slovenia,SVN,2016,21790,0.2,3.38,2.18,6.249419212,36.89,2873.21
SVN-2017,Slovenia,SVN,2017,22140,0.2,3.39,2.11,6.665273666,37.14,2998.32
SVN-2018,Slovenia,SVN,2018,24640,0.2,3.38,2.04,6.462076187,37.32,3334.94
SVN-2019,Slovenia,SVN,2019,25980,0.2,3.37,1.97,6.460700035,37.5,3629.01
SLB-2015,Solomon Islands,SLB,2015,2130,0.07,3.08,2.31,,34.96,113.6
SLB-2016,Solomon Islands,SLB,2016,2140,0.07,3.08,2.32,,34.87,115.09
SLB-2017,Solomon Islands,SLB,2017,2220,0.07,3.08,2.34,,35.55,112.66
SLB-2018,Solomon Islands,SLB,2018,2360,0.07,3.08,2.34,,36.45,109.17
SLB-2019,Solomon Islands,SLB,2019,2370,0.07,3.09,2.31,,36.71,131.09
SOM-2015,Somalia,SOM,2015,400,0.05,4.93,0.66,,9.26,
SOM-2016,Somalia,SOM,2016,400,0.05,4.93,0.67,,9.36,
SOM-2017,Somalia,SOM,2017,380,0.05,4.94,0.67,,9.45,
SOM-2018,Somalia,SOM,2018,400,0.05,4.94,0.7,,9.76,
SOM-2019,Somalia,SOM,2019,420,0.05,4.94,0.72,,10.05,
ZAF-2015,South Africa,ZAF,2015,6610,0.17,4.38,1.33,4.513655186,15.65,1103.37
ZAF-2016,South Africa,ZAF,2016,5990,0.17,4.45,1.29,4.8839221,15.74,1110.76
ZAF-2017,South Africa,ZAF,2017,5910,0.17,4.5,1.31,5.034863472,15.82,1107.89
ZAF-2018,South Africa,ZAF,2018,6340,0.17,4.49,1.44,4.946800709,15.73,1145.87
ZAF-2019,South Africa,ZAF,2019,6670,0.17,4.45,1.51,4.956399918,15.85,1187.33
KOR-2015,South Korea,KOR,2015,28720,0.37,2.32,5.33,5.873887062,23.44,2531.06
KOR-2016,South Korea,KOR,2016,29330,0.37,2.29,5.09,5.840231419,23.5,2748.95
KOR-2017,South Korea,KOR,2017,30300,0.37,2.26,4.9,5.902816772,23.77,2925.95
KOR-2018,South Korea,KOR,2018,32750,0.38,2.26,4.75,5.792695522,24.01,3232.42
KOR-2019,South Korea,KOR,2019,33830,0.38,2.27,4.57,5.845499992,24.32,3521.33
SSD-2015,South Sudan,SSD,2015,1090,0.15,4.78,0.48,2.816622496,8.11,
SSD-2016,South Sudan,SSD,2016,,0.15,4.8,0.5,,8.64,
SSD-2017,South Sudan,SSD,2017,,0.16,4.82,0.51,,8.97,84.44
SSD-2018,South Sudan,SSD,2018,,0.16,4.83,0.54,,9.39,64.22
SSD-2019,South Sudan,SSD,2019,,0.16,4.85,0.57,,9.78,62.99
ESP-2015,Spain,ESP,2015,28450,0.64,5.02,0.95,6.230173111,30.19,3184.99
ESP-2016,Spain,ESP,2016,27550,0.64,5.06,0.93,6.513370991,30.09,3341.17
ESP-2017,Spain,ESP,2017,27100,0.65,5.11,0.9,6.457449436,30.28,3556.87
ESP-2018,Spain,ESP,2018,29310,0.65,5.15,0.89,6.502175331,30.53,3787.7
ESP-2019,Spain,ESP,2019,30380,0.65,5.19,0.88,6.490699768,30.68,3983.93
LKA-2015,Sri Lanka,LKA,2015,3760,0.12,3,3.25,4.330945492,34.17,450.91
LKA-2016,Sri Lanka,LKA,2016,3810,0.12,3,3.27,4.435023785,34.05,476.46
LKA-2017,Sri Lanka,LKA,2017,3870,0.12,3.01,3.26,4.213299274,34.07,459.25
LKA-2018,Sri Lanka,LKA,2018,4040,0.12,3.01,3.35,,34.17,523.52
LKA-2019,Sri Lanka,LKA,2019,4010,0.13,3.02,3.26,4.324999809,34.35,569.57
SDN-2015,Sudan,SDN,2015,1920,0.15,4.57,0.91,,32.86,322.55
SDN-2016,Sudan,SDN,2016,2160,0.15,4.57,0.93,,33.66,305.39
SDN-2017,Sudan,SDN,2017,2420,0.15,4.58,0.95,,34.67,278.69
SDN-2018,Sudan,SDN,2018,1390,0.15,4.59,0.98,,35.73,202.41
SDN-2019,Sudan,SDN,2019,940,0.15,4.61,1,,36.82,204.54
SUR-2015,Suriname,SUR,2015,8890,0.23,4.92,3.54,,31.4,999.57
SUR-2016,Suriname,SUR,2016,6940,0.24,4.92,3.54,,31.71,902.66
SUR-2017,Suriname,SUR,2017,5940,0.24,4.93,3.48,,32.02,973.22
SUR-2018,Suriname,SUR,2018,5970,0.24,4.92,3.4,,32.34,1345.69
SUR-2019,Suriname,SUR,2019,6190,0.24,4.89,3.31,,32.58,1680.19
SWE-2015,Sweden,SWE,2015,58420,0.54,4.49,1.56,7.286804676,38.77,5333.4
SWE-2016,Sweden,SWE,2016,54360,0.55,4.49,1.52,7.374792099,38.58,5512.93
SWE-2017,Sweden,SWE,2017,53030,0.55,4.49,1.5,7.398092747,38.3,5655.7
SWE-2018,Sweden,SWE,2018,55690,0.56,4.49,1.47,7.314341068,38.51,6077.04
SWE-2019,Sweden,SWE,2019,56420,0.56,4.47,1.46,7.362699986,38.47,6222.66
CHE-2015,Switzerland,CHE,2015,87960,0.54,4.09,1.76,7.473593235,34.21,7306.93
CHE-2016,Switzerland,CHE,2016,84420,0.54,4.1,1.74,7.508586884,33.97,7738.63
CHE-2017,Switzerland,CHE,2017,81880,0.54,4.11,1.74,7.69422102,34.05,7989.64
CHE-2018,Switzerland,CHE,2018,83280,0.54,4.11,1.72,7.508435249,34.21,8447.56
CHE-2019,Switzerland,CHE,2019,84260,0.54,4.08,1.68,7.571499825,34.33,8532.5
SYR-2015,Syria,SYR,2015,1020,0.17,4.23,0.23,,30.38,
SYR-2016,Syria,SYR,2016,860,0.17,4.24,0.24,,32.63,
SYR-2017,Syria,SYR,2017,820,0.17,4.24,0.29,,40.51,
SYR-2018,Syria,SYR,2018,930,0.17,4.28,0.35,,50.85,
SYR-2019,Syria,SYR,2019,,0.17,4.35,0.38,,54.05,
TWN-2015,Taiwan,TWN,2015,,0.18,2.77,2.48,6.359450817,22.08,
TWN-2016,Taiwan,TWN,2016,,0.18,2.76,2.43,6.467004776,22.2,
TWN-2017,Taiwan,TWN,2017,,0.18,2.76,2.39,6.537089825,22.25,
TWN-2018,Taiwan,TWN,2018,,0.19,2.76,2.37,6.751067638,22.15,
TWN-2019,Taiwan,TWN,2019,,0.19,2.77,2.32,6.584400177,22.17,
TJK-2015,Tajikistan,TJK,2015,1260,0.09,2.94,0.86,5.829234123,45.15,206.62
TJK-2016,Tajikistan,TJK,2016,1110,0.09,2.94,0.89,5.497468948,45.39,216.9
TJK-2017,Tajikistan,TJK,2017,1030,0.09,2.95,0.9,5.464015484,45.47,222.95
TJK-2018,Tajikistan,TJK,2018,1030,0.09,2.96,0.93,5.373398781,44.98,239.88
TJK-2019,Tajikistan,TJK,2019,1070,0.09,2.97,0.95,5.466199875,44.87,250.77
TZA-2015,Tanzania,TZA,2015,980,0.1,4.7,0.78,3.347121239,13.44,83.21
TZA-2016,Tanzania,TZA,2016,970,0.1,4.71,0.8,3.445023298,13.85,95.4
TZA-2017,Tanzania,TZA,2017,970,0.11,4.73,0.83,3.640154839,14.31,100.21
TZA-2018,Tanzania,TZA,2018,1030,0.11,4.74,0.88,3.785684109,14.94,105.11
TZA-2019,Tanzania,TZA,2019,1100,0.11,4.77,0.91,3.62319994,15.4,99.35
THA-2015,Thailand,THA,2015,5710,0.13,3.01,1.55,5.938895226,22.12,580.35
THA-2016,Thailand,THA,2016,5700,0.13,3.01,1.53,6.011561871,22.37,623.79
THA-2017,Thailand,THA,2017,5970,0.14,3,1.51,6.02215147,22.66,669.58
THA-2018,Thailand,THA,2018,6610,0.14,3,1.47,5.884544373,22.97,707.59
THA-2019,Thailand,THA,2019,7250,0.14,2.99,1.43,5.984700203,23.27,731.31
TLS-2015,Timor,TLS,2015,2200,0.1,2.88,0.78,,29.83,223.41
TLS-2016,Timor,TLS,2016,1750,0.1,2.88,0.79,,30.29,215.94
TLS-2017,Timor,TLS,2017,1800,0.1,2.88,0.79,,30.89,212.11
TLS-2018,Timor,TLS,2018,1820,0.1,2.88,0.8,,31.35,237.96
TLS-2019,Timor,TLS,2019,2050,0.1,2.89,0.81,,31.7,220.31
TGO-2015,Togo,TGO,2015,640,0.09,4.55,0.95,4.360805035,12.95,93.44
TGO-2016,Togo,TGO,2016,670,0.09,4.56,1,4.022894859,13.6,104.6
TGO-2017,Togo,TGO,2017,720,0.09,4.57,1.05,4.179493904,14.41,130.67
TGO-2018,Togo,TGO,2018,880,0.09,4.57,1.08,,15.04,128.41
TGO-2019,Togo,TGO,2019,920,0.09,4.58,1.1,4.106800079,15.61,125.56
TKL-2015,Tokelau,TKL,2015,,0.1,3.27,1.18,,39.24,
TKL-2016,Tokelau,TKL,2016,,0.1,3.26,1.18,,39.07,
TKL-2017,Tokelau,TKL,2017,,0.11,3.26,1.18,,38.98,
TKL-2018,Tokelau,TKL,2018,,0.11,3.26,1.18,,38.88,
TKL-2019,Tokelau,TKL,2019,,0.11,3.26,1.18,,38.8,
TON-2015,Tonga,TON,2015,4440,0.09,2.79,0.73,,26.87,270.65
TON-2016,Tonga,TON,2016,4410,0.1,2.79,0.73,,26.93,312.88
TON-2017,Tonga,TON,2017,4590,0.1,2.79,0.73,,27.01,330.04
TON-2018,Tonga,TON,2018,4800,0.1,2.8,0.73,,27.06,332.15
TON-2019,Tonga,TON,2019,5150,0.1,2.82,0.73,,27.08,332.05
TTO-2015,Trinidad and Tobago,TTO,2015,19030,0.3,4,1.46,6.191859722,33.17,1665.38
TTO-2016,Trinidad and Tobago,TTO,2016,16870,0.3,3.99,1.41,,33.56,1803.14
TTO-2017,Trinidad and Tobago,TTO,2017,16120,0.3,3.99,1.38,,33.81,1842.56
TTO-2018,Trinidad and Tobago,TTO,2018,16120,0.3,4,1.35,,33.98,1796.03
TTO-2019,Trinidad and Tobago,TTO,2019,16740,0.3,4.03,1.31,,34.14,1834.96
TUN-2015,Tunisia,TUN,2015,4190,0.21,5.28,0.64,4.124342918,50.87,675.98
TUN-2016,Tunisia,TUN,2016,3980,0.21,5.27,0.63,4.741132259,51.23,684.75
TUN-2017,Tunisia,TUN,2017,3750,0.22,5.27,0.62,4.315479755,51.47,723.12
TUN-2018,Tunisia,TUN,2018,3760,0.22,5.29,0.61,4.730811119,51.6,759.04
TUN-2019,Tunisia,TUN,2019,3620,0.22,5.34,0.61,4.59649992,51.78,789.05
TUR-2015,Turkey,TUR,2015,12030,0.29,4.27,0.56,5.607262135,38.73,1060.24
TUR-2016,Turkey,TUR,2016,11260,0.3,4.21,0.56,5.185689449,38.63,1135.96
TUR-2017,Turkey,TUR,2017,10970,0.3,4.16,0.56,4.87207365,38.82,1166.73
TUR-2018,Turkey,TUR,2018,10510,0.31,4.15,0.56,4.861554146,38.66,1152.41
TUR-2019,Turkey,TUR,2019,9690,0.31,4.16,0.57,4.947599888,38.84,1186.74
TKM-2015,Turkmenistan,TKM,2015,7030,0.15,3.26,1.39,5.229148865,52.11,862.23
TKM-2016,Turkmenistan,TKM,2016,6830,0.15,3.25,1.38,4.620601654,52.71,918.11
TKM-2017,Turkmenistan,TKM,2017,6380,0.16,3.25,1.36,5.474299908,53.22,985.17
TKM-2018,Turkmenistan,TKM,2018,6740,0.16,3.25,1.33,,54.04,1004.81
TKM-2019,Turkmenistan,TKM,2019,7220,0.16,3.25,1.31,5.066400051,54.5,1063.84
TUV-2015,Tuvalu,TUV,2015,5580,0.08,3.26,1.74,,39.48,600.9
TUV-2016,Tuvalu,TUV,2016,5300,0.08,3.25,1.75,,39.48,626.5
TUV-2017,Tuvalu,TUV,2017,5070,0.08,3.25,1.76,,39.54,691.06
TUV-2018,Tuvalu,TUV,2018,5820,0.08,3.25,1.76,,39.56,837.3
TUV-2019,Tuvalu,TUV,2019,6240,0.09,3.25,1.76,,39.57,1071.3
UGA-2015,Uganda,UGA,2015,830,0.09,6.69,0.76,4.000516891,9.85,113.36
UGA-2016,Uganda,UGA,2016,800,0.1,6.7,0.77,4.321714878,9.96,107.92
UGA-2017,Uganda,UGA,2017,740,0.1,6.7,0.81,4.948051453,10.57,87.2
UGA-2018,Uganda,UGA,2018,750,0.1,6.7,0.86,4.640909672,11.2,92.14
UGA-2019,Uganda,UGA,2019,780,0.1,6.69,0.89,4.636499882,11.61,92.38
UKR-2015,Ukraine,UKR,2015,2800,0.13,4.18,2.14,4.311067104,63.68,753.85
UKR-2016,Ukraine,UKR,2016,2360,0.13,4.19,2.15,4.661909103,63.73,802.78
UKR-2017,Ukraine,UKR,2017,2360,0.13,4.2,2.09,4.701762199,63.82,842.43
UKR-2018,Ukraine,UKR,2018,2750,0.13,4.2,1.99,5.269675732,64.26,907.95
UKR-2019,Ukraine,UKR,2019,3310,0.13,4.2,1.96,4.874800205,64.33,907.16
ARE-2015,United Arab Emirates,ARE,2015,42870,0.3,3.72,2.81,7.039419651,26.78,2325.82
ARE-2016,United Arab Emirates,ARE,2016,40550,0.31,3.72,2.66,6.603743553,27.56,2217.17
ARE-2017,United Arab Emirates,ARE,2017,39280,0.31,3.72,2.51,6.710782528,28.33,2727.39
ARE-2018,United Arab Emirates,ARE,2018,41470,0.31,3.73,2.39,6.458392143,29,2843.78
ARE-2019,United Arab Emirates,ARE,2019,43830,0.32,3.76,2.28,6.560500145,29.62,2996.36
GBR-2015,United Kingdom,GBR,2015,44730,0.46,4.57,0.94,7.103273392,30.19,4231.58
GBR-2016,United Kingdom,GBR,2016,43460,0.46,4.53,0.95,7.233445168,29.88,4374.49
GBR-2017,United Kingdom,GBR,2017,41880,0.46,4.5,0.95,7.157151222,29.78,4515.59
GBR-2018,United Kingdom,GBR,2018,42410,0.47,4.5,0.92,6.798177242,30.12,4830.18
GBR-2019,United Kingdom,GBR,2019,43460,0.47,4.5,0.9,7.063600063,30.25,5087.38
USA-2015,United States,USA,2015,56620,0.45,4.75,1.71,6.9917593,32.41,9392.07
USA-2016,United States,USA,2016,57140,0.46,4.74,1.72,6.882684708,32.27,9775
USA-2017,United States,USA,2017,59250,0.46,4.74,1.68,6.943701267,32.23,10103.09
USA-2018,United States,USA,2018,63490,0.46,4.73,1.6,7.028088093,32.38,10515.32
USA-2019,United States,USA,2019,65970,0.46,4.73,1.54,6.951499939,32.5,10921.01
VIR-2015,United States Virgin Islands,VIR,2015,,0.38,3.49,0.73,,38.21,
VIR-2016,United States Virgin Islands,VIR,2016,,0.37,3.49,0.72,,38.46,
VIR-2017,United States Virgin Islands,VIR,2017,,0.37,3.49,0.7,,38.53,
VIR-2018,United States Virgin Islands,VIR,2018,,0.37,3.51,0.7,,38.96,
VIR-2019,United States Virgin Islands,VIR,2019,,0.37,3.55,0.69,,39.17,
URY-2015,Uruguay,URY,2015,15620,0.37,3.11,2.1,6.336009979,29.31,1821.24
URY-2016,Uruguay,URY,2016,15440,0.37,3.1,2.11,6.371714592,29.21,1948
URY-2017,Uruguay,URY,2017,15920,0.38,3.09,2.07,6.600337029,29.4,2029.89
URY-2018,Uruguay,URY,2018,17280,0.38,3.09,2.03,6.309681416,29.47,2158.26
URY-2019,Uruguay,URY,2019,17770,0.38,3.07,1.97,6.431399822,29.56,2309.84
UZB-2015,Uzbekistan,UZB,2015,2740,0.12,3.35,1.87,6.421447754,53.05,320.15
UZB-2016,Uzbekistan,UZB,2016,2790,0.12,3.35,1.92,6.205460072,52.79,324.62
UZB-2017,Uzbekistan,UZB,2017,2470,0.12,3.35,1.89,6.154049397,52.9,335.39
UZB-2018,Uzbekistan,UZB,2018,2110,0.12,3.34,1.87,,52.94,372.38
UZB-2019,Uzbekistan,UZB,2019,1870,0.12,3.34,1.86,6.178800106,52.76,418.01
VUT-2015,Vanuatu,VUT,2015,2820,0.08,3.05,2.36,,37.5,122.7
VUT-2016,Vanuatu,VUT,2016,2830,0.08,3.05,2.37,,37.99,85.52
VUT-2017,Vanuatu,VUT,2017,2900,0.08,3.05,2.36,,38.28,86.11
VUT-2018,Vanuatu,VUT,2018,3170,0.08,3.05,2.33,,38.58,107.24
VUT-2019,Vanuatu,VUT,2019,3440,0.08,3.06,2.28,,38.83,110.64
VEN-2015,Venezuela,VEN,2015,,0.24,3.34,1.5,5.070750713,29.7,744.75
VEN-2016,Venezuela,VEN,2016,,0.24,3.35,1.41,5.005663395,30.6,567.16
VEN-2017,Venezuela,VEN,2017,,0.23,3.36,1.34,5.080803394,31.53,589.05
VEN-2018,Venezuela,VEN,2018,,0.23,3.36,1.31,4.573829651,32.1,521.33
VEN-2019,Venezuela,VEN,2019,,0.22,3.36,1.23,4.892199993,32.92,384.5
VNM-2015,Vietnam,VNM,2015,2460,0.09,2.58,1.3,5.175278664,38.1,344.96
VNM-2016,Vietnam,VNM,2016,2570,0.09,2.58,1.3,5.295547009,38.04,371.98
VNM-2017,Vietnam,VNM,2017,2700,0.1,2.58,1.3,5.467451096,38.02,423.98
VNM-2018,Vietnam,VNM,2018,3030,0.1,2.58,1.29,,38.03,493.99
VNM-2019,Vietnam,VNM,2019,3280,0.1,2.58,1.28,5.41079998,38.03,558.87
-2015,Wales,,2015,,0.44,4.52,0.94,,30.69,
-2016,Wales,,2016,,0.44,4.53,0.95,,30.27,
-2017,Wales,,2017,,0.44,4.54,0.96,,30.08,
-2018,Wales,,2018,,0.45,4.54,0.93,,30.48,
-2019,Wales,,2019,,0.45,4.55,0.91,,30.73,
YEM-2015,Yemen,YEM,2015,1200,0.14,5.04,0.82,3.253560066,30.06,110.01
YEM-2016,Yemen,YEM,2016,1160,0.14,5.03,0.81,3.057513952,29.28,
